BookingID,CustomerName,Email,CheckInDate,CheckOutDate,RoomType,TotalPrice,BookingStatus
B0165,Customer165,customer165@example.com,2023-07-16,2023-07-19,Suite,250,Cancelled
B0166,Customer166,customer166@example.com,2023-07-17,2023-07-20,Single,100,Confirmed
B0167,Customer167,customer167@example.com,2023-07-18,2023-07-21,Double,150,Pending
B0168,Customer168,customer168@example.com,2023-07-19,2023-07-22,Suite,250,Cancelled
B0169,Customer169,customer169@example.com,2023-07-20,2023-07-23,Single,100,Confirmed
B0170,Customer170,customer170@example.com,2023-07-21,2023-07-24,Double,150,Pending
B0171,Customer171,customer171@example.com,2023-07-22,2023-07-25,Suite,250,Cancelled
B0172,Customer172,customer172@example.com,2023-07-23,2023-07-26,Single,100,Confirmed
B0173,Customer173,customer173@example.com,2023-07-24,2023-07-27,Double,150,Pending
B0174,Customer174,customer174@example.com,2023-07-25,2023-07-28,Suite,250,Cancelled
B0175,Customer175,customer175@example.com,2023-07-26,2023-07-29,Single,100,Confirmed
B0176,Customer176,customer176@example.com,2023-07-27,2023-07-30,Double,150,Pending
B0177,Customer177,customer177@example.com,2023-07-28,2023-07-31,Suite,250,Cancelled
B0178,Customer178,customer178@example.com,2023-07-29,2023-08-01,Single,100,Confirmed
B0179,Customer179,customer179@example.com,2023-07-30,2023-08-02,Double,150,Pending
B0180,Customer180,customer180@example.com,2023-07-01,2023-07-04,Suite,250,Cancelled
B0181,Customer181,customer181@example.com,2023-07-02,2023-07-05,Single,100,Confirmed
B0182,Customer182,customer182@example.com,2023-07-03,2023-07-06,Double,150,Pending
B0183,Customer183,customer183@example.com,2023-07-04,2023-07-07,Suite,250,Cancelled
B0184,Customer184,customer184@example.com,2023-07-05,2023-07-08,Single,100,Confirmed
B0185,Customer185,customer185@example.com,2023-07-06,2023-07-09,Double,150,Pending
B0186,Customer186,customer186@example.com,2023-07-07,2023-07-10,Suite,250,Cancelled
B0187,Customer187,customer187@example.com,2023-07-08,2023-07-11,Single,100,Confirmed
B0188,Customer188,customer188@example.com,2023-07-09,2023-07-12,Double,150,Pending
B0189,Customer189,customer189@example.com,2023-07-10,2023-07-13,Suite,250,Cancelled
B0190,Customer190,customer190@example.com,2023-07-11,2023-07-14,Single,100,Confirmed
B0191,Customer191,customer191@example.com,2023-07-12,2023-07-15,Double,150,Pending
B0192,Customer192,customer192@example.com,2023-07-13,2023-07-16,Suite,250,Cancelled
B0193,Customer193,customer193@example.com,2023-07-14,2023-07-17,Single,100,Confirmed
B0194,Customer194,customer194@example.com,2023-07-15,2023-07-18,Double,150,Pending
B0195,Customer195,customer195@example.com,2023-07-16,2023-07-19,Suite,250,Cancelled
B0196,Customer196,customer196@example.com,2023-07-17,2023-07-20,Single,100,Confirmed
B0197,Customer197,customer197@example.com,2023-07-18,2023-07-21,Double,150,Pending
B0198,Customer198,customer198@example.com,2023-07-19,2023-07-22,Suite,250,Cancelled
B0199,Customer199,customer199@example.com,2023-07-20,2023-07-23,Single,100,Confirmed
B0200,Customer200,customer200@example.com,2023-07-21,2023-07-24,Double,150,Pending
B0201,Customer201,customer201@example.com,2023-07-22,2023-07-25,Suite,250,Cancelled
B0202,Customer202,customer202@example.com,2023-07-23,2023-07-26,Single,100,Confirmed
B0203,Customer203,customer203@example.com,2023-07-24,2023-07-27,Double,150,Pending
B0204,Customer204,customer204@example.com,2023-07-25,2023-07-28,Suite,250,Cancelled
B0205,Customer205,customer205@example.com,2023-07-26,2023-07-29,Single,100,Confirmed
B0206,Customer206,customer206@example.com,2023-07-27,2023-07-30,Double,150,Pending
B0207,Customer207,customer207@example.com,2023-07-28,2023-07-31,Suite,250,Cancelled
B0208,Customer208,customer208@example.com,2023-07-29,2023-08-01,Single,100,Confirmed
B0209,Customer209,customer209@example.com,2023-07-30,2023-08-02,Double,150,Pending
B0210,Customer210,customer210@example.com,2023-07-01,2023-07-04,Suite,250,Cancelled
B0211,Customer211,customer211@example.com,2023-07-02,2023-07-05,Single,100,Confirmed
B0212,Customer212,customer212@example.com,2023-07-03,2023-07-06,Double,150,Pending
B0213,Customer213,customer213@example.com,2023-07-04,2023-07-07,Suite,250,Cancelled
B0214,Customer214,customer214@example.com,2023-07-05,2023-07-08,Single,100,Confirmed
B0215,Customer215,customer215@example.com,2023-07-06,2023-07-09,Double,150,Pending
B0216,Customer216,customer216@example.com,2023-07-07,2023-07-10,Suite,250,Cancelled
B0217,Customer217,customer217@example.com,2023-07-08,2023-07-11,Single,100,Confirmed
B0218,Customer218,customer218@example.com,2023-07-09,2023-07-12,Double,150,Pending
B0219,Customer219,customer219@example.com,2023-07-10,2023-07-13,Suite,250,Cancelled
B0220,Customer220,customer220@example.com,2023-07-11,2023-07-14,Single,100,Confirmed
B0221,Customer221,customer221@example.com,2023-07-12,2023-07-15,Double,150,Pending
B0222,Customer222,customer222@example.com,2023-07-13,2023-07-16,Suite,250,Cancelled
B0223,Customer223,customer223@example.com,2023-07-14,2023-07-17,Single,100,Confirmed
B0224,Customer224,customer224@example.com,2023-07-15,2023-07-18,Double,150,Pending
B0225,Customer225,customer225@example.com,2023-07-16,2023-07-19,Suite,250,Cancelled
B0226,Customer226,customer226@example.com,2023-07-17,2023-07-20,Single,100,Confirmed
B0227,Customer227,customer227@example.com,2023-07-18,2023-07-21,Double,150,Pending
B0228,Customer228,customer228@example.com,2023-07-19,2023-07-22,Suite,250,Cancelled
B0229,Customer229,customer229@example.com,2023-07-20,2023-07-23,Single,100,Confirmed
B0230,Customer230,customer230@example.com,2023-07-21,2023-07-24,Double,150,Pending
B0231,Customer231,customer231@example.com,2023-07-22,2023-07-25,Suite,250,Cancelled
B0232,Customer232,customer232@example.com,2023-07-23,2023-07-26,Single,100,Confirmed
B0233,Customer233,customer233@example.com,2023-07-24,2023-07-27,Double,150,Pending
B0234,Customer234,customer234@example.com,2023-07-25,2023-07-28,Suite,250,Cancelled
B0235,Customer235,customer235@example.com,2023-07-26,2023-07-29,Single,100,Confirmed
B0236,Customer236,customer236@example.com,2023-07-27,2023-07-30,Double,150,Pending
B0237,Customer237,customer237@example.com,2023-07-28,2023-07-31,Suite,250,Cancelled
B0238,Customer238,customer238@example.com,2023-07-29,2023-08-01,Single,100,Confirmed
B0239,Customer239,customer239@example.com,2023-07-30,2023-08-02,Double,150,Pending
B0240,Customer240,customer240@example.com,2023-07-01,2023-07-04,Suite,250,Cancelled
B0241,Customer241,customer241@example.com,2023-07-02,2023-07-05,Single,100,Confirmed
B0242,Customer242,customer242@example.com,2023-07-03,2023-07-06,Double,150,Pending
B0243,Customer243,customer243@example.com,2023-07-04,2023-07-07,Suite,250,Cancelled
B0244,Customer244,customer244@example.com,2023-07-05,2023-07-08,Single,100,Confirmed
B0245,Customer245,customer245@example.com,2023-07-06,2023-07-09,Double,150,Pending
B0246,Customer246,customer246@example.com,2023-07-07,2023-07-10,Suite,250,Cancelled
B0247,Customer247,customer247@example.com,2023-07-08,2023-07-11,Single,100,Confirmed
B0248,Customer248,customer248@example.com,2023-07-09,2023-07-12,Double,150,Pending
B0249,Customer249,customer249@example.com,2023-07-10,2023-07-13,Suite,250,Cancelled
B0250,Customer250,customer250@example.com,2023-07-11,2023-07-14,Single,100,Confirmed
B0251,Customer251,customer251@example.com,2023-07-12,2023-07-15,Double,150,Pending
B0252,Customer252,customer252@example.com,2023-07-13,2023-07-16,Suite,250,Cancelled
B0253,Customer253,customer253@example.com,2023-07-14,2023-07-17,Single,100,Confirmed
B0254,Customer254,customer254@example.com,2023-07-15,2023-07-18,Double,150,Pending
B0255,Customer255,customer255@example.com,2023-07-16,2023-07-19,Suite,250,Cancelled
B0256,Customer256,customer256@example.com,2023-07-17,2023-07-20,Single,100,Confirmed
B0257,Customer257,customer257@example.com,2023-07-18,2023-07-21,Double,150,Pending
B0258,Customer258,customer258@example.com,2023-07-19,2023-07-22,Suite,250,Cancelled
B0259,Customer259,customer259@example.com,2023-07-20,2023-07-23,Single,100,Confirmed
B0260,Customer260,customer260@example.com,2023-07-21,2023-07-24,Double,150,Pending
B0261,Customer261,customer261@example.com,2023-07-22,2023-07-25,Suite,250,Cancelled
B0262,Customer262,customer262@example.com,2023-07-23,2023-07-26,Single,100,Confirmed
B0263,Customer263,customer263@example.com,2023-07-24,2023-07-27,Double,150,Pending
B0264,Customer264,customer264@example.com,2023-07-25,2023-07-28,Suite,250,Cancelled
B0265,Customer265,customer265@example.com,2023-07-26,2023-07-29,Single,100,Confirmed
B0266,Customer266,customer266@example.com,2023-07-27,2023-07-30,Double,150,Pending
B0267,Customer267,customer267@example.com,2023-07-28,2023-07-31,Suite,250,Cancelled
B0268,Customer268,customer268@example.com,2023-07-29,2023-08-01,Single,100,Confirmed
B0269,Customer269,customer269@example.com,2023-07-30,2023-08-02,Double,150,Pending
B0270,Customer270,customer270@example.com,2023-07-01,2023-07-04,Suite,250,Cancelled
B0271,Customer271,customer271@example.com,2023-07-02,2023-07-05,Single,100,Confirmed
B0272,Customer272,customer272@example.com,2023-07-03,2023-07-06,Double,150,Pending
B0273,Customer273,customer273@example.com,2023-07-04,2023-07-07,Suite,250,Cancelled
B0274,Customer274,customer274@example.com,2023-07-05,2023-07-08,Single,100,Confirmed
B0275,Customer275,customer275@example.com,2023-07-06,2023-07-09,Double,150,Pending
B0276,Customer276,customer276@example.com,2023-07-07,2023-07-10,Suite,250,Cancelled
B0277,Customer277,customer277@example.com,2023-07-08,2023-07-11,Single,100,Confirmed
B0278,Customer278,customer278@example.com,2023-07-09,2023-07-12,Double,150,Pending
B0279,Customer279,customer279@example.com,2023-07-10,2023-07-13,Suite,250,Cancelled
B0280,Customer280,customer280@example.com,2023-07-11,2023-07-14,Single,100,Confirmed
B0281,Customer281,customer281@example.com,2023-07-12,2023-07-15,Double,150,Pending
B0282,Customer282,customer282@example.com,2023-07-13,2023-07-16,Suite,250,Cancelled
B0283,Customer283,customer283@example.com,2023-07-14,2023-07-17,Single,100,Confirmed
B0284,Customer284,customer284@example.com,2023-07-15,2023-07-18,Double,150,Pending
B0285,Customer285,customer285@example.com,2023-07-16,2023-07-19,Suite,250,Cancelled
B0286,Customer286,customer286@example.com,2023-07-17,2023-07-20,Single,100,Confirmed
B0287,Customer287,customer287@example.com,2023-07-18,2023-07-21,Double,150,Pending
B0288,Customer288,customer288@example.com,2023-07-19,2023-07-22,Suite,250,Cancelled
B0289,Customer289,customer289@example.com,2023-07-20,2023-07-23,Single,100,Confirmed
B0290,Customer290,customer290@example.com,2023-07-21,2023-07-24,Double,150,Pending
B0291,Customer291,customer291@example.com,2023-07-22,2023-07-25,Suite,250,Cancelled
B0292,Customer292,customer292@example.com,2023-07-23,2023-07-26,Single,100,Confirmed
B0293,Customer293,customer293@example.com,2023-07-24,2023-07-27,Double,150,Pending
B0294,Customer294,customer294@example.com,2023-07-25,2023-07-28,Suite,250,Cancelled
B0295,Customer295,customer295@example.com,2023-07-26,2023-07-29,Single,100,Confirmed
B0296,Customer296,customer296@example.com,2023-07-27,2023-07-30,Double,150,Pending
B0297,Customer297,customer297@example.com,2023-07-28,2023-07-31,Suite,250,Cancelled
B0298,Customer298,customer298@example.com,2023-07-29,2023-08-01,Single,100,Confirmed
B0299,Customer299,customer299@example.com,2023-07-30,2023-08-02,Double,150,Pending
B0300,Customer300,customer300@example.com,2023-07-01,2023-07-04,Suite,250,Cancelled
B0301,Customer301,customer301@example.com,2023-07-02,2023-07-05,Single,100,Confirmed
B0302,Customer302,customer302@example.com,2023-07-03,2023-07-06,Double,150,Pending
B0303,Customer303,customer303@example.com,2023-07-04,2023-07-07,Suite,250,Cancelled
B0304,Customer304,customer304@example.com,2023-07-05,2023-07-08,Single,100,Confirmed
B0305,Customer305,customer305@example.com,2023-07-06,2023-07-09,Double,150,Pending
B0306,Customer306,customer306@example.com,2023-07-07,2023-07-10,Suite,250,Cancelled
B0307,Customer307,customer307@example.com,2023-07-08,2023-07-11,Single,100,Confirmed
B0308,Customer308,customer308@example.com,2023-07-09,2023-07-12,Double,150,Pending
B0309,Customer309,customer309@example.com,2023-07-10,2023-07-13,Suite,250,Cancelled
B0310,Customer310,customer310@example.com,2023-07-11,2023-07-14,Single,100,Confirmed
B0311,Customer311,customer311@example.com,2023-07-12,2023-07-15,Double,150,Pending
B0312,Customer312,customer312@example.com,2023-07-13,2023-07-16,Suite,250,Cancelled
B0313,Customer313,customer313@example.com,2023-07-14,2023-07-17,Single,100,Confirmed
B0314,Customer314,customer314@example.com,2023-07-15,2023-07-18,Double,150,Pending
B0315,Customer315,customer315@example.com,2023-07-16,2023-07-19,Suite,250,Cancelled
B0316,Customer316,customer316@example.com,2023-07-17,2023-07-20,Single,100,Confirmed
B0317,Customer317,customer317@example.com,2023-07-18,2023-07-21,Double,150,Pending
B0318,Customer318,customer318@example.com,2023-07-19,2023-07-22,Suite,250,Cancelled
B0319,Customer319,customer319@example.com,2023-07-20,2023-07-23,Single,100,Confirmed
B0320,Customer320,customer320@example.com,2023-07-21,2023-07-24,Double,150,Pending
B0321,Customer321,customer321@example.com,2023-07-22,2023-07-25,Suite,250,Cancelled
B0322,Customer322,customer322@example.com,2023-07-23,2023-07-26,Single,100,Confirmed
B0323,Customer323,customer323@example.com,2023-07-24,2023-07-27,Double,150,Pending
B0324,Customer324,customer324@example.com,2023-07-25,2023-07-28,Suite,250,Cancelled
B0325,Customer325,customer325@example.com,2023-07-26,2023-07-29,Single,100,Confirmed
B0326,Customer326,customer326@example.com,2023-07-27,2023-07-30,Double,150,Pending
B0327,Customer327,customer327@example.com,2023-07-28,2023-07-31,Suite,250,Cancelled
B0328,Customer328,customer328@example.com,2023-07-29,2023-08-01,Single,100,Confirmed
B0329,Customer329,customer329@example.com,2023-07-30,2023-08-02,Double,150,Pending
B0330,Customer330,customer330@example.com,2023-07-01,2023-07-04,Suite,250,Cancelled
B0331,Customer331,customer331@example.com,2023-07-02,2023-07-05,Single,100,Confirmed
B0332,Customer332,customer332@example.com,2023-07-03,2023-07-06,Double,150,Pending
B0333,Customer333,customer333@example.com,2023-07-04,2023-07-07,Suite,250,Cancelled
